State,Institution Name,Routing Numbers
Wisconsin,1ST CLASS EXPRESS,275982238
Ohio,1st National Bank,042208006
Texas,4U,311982134
Illinois,ABRI,271975388
Louisiana,ACCESS OF LOUISIANA,265274736
Indiana,ADVANCE FINANCIAL,271990473
Utah,AFFINITY FIRST,291378897
Colorado,AKRON,302075128
Tennessee,ALCOA MUNICIPAL EMPLOYEES,264278270
Ohio,ALL SAINTS,241078888
Iowa,ALLEN HOSPITAL PERSONNEL,273976262
Ohio,ALLWEALTH,242278409
Illinois,ALTONIZED COMMUNITY,281076170
Alabama,AMERICA'S FIRST,262083881
Texas,ANDERSON COUNTY,313187021
Colorado,ARAPAHOE,307076342
Kentucky,ARH,242176187
Georgia,ARTESIAN,261271791
Ohio,ASSOCIATED SCHOOL EMPLOYEES,241283181
New York,AUBURN COMMUNITY,221373451
Texas,AUSTIN TELCO,314977175
Kansas,AZURA,301179737
Nebraska,Adams State Bank,104911671
Illinois,Alliance Community Bank,071111481
Texas,Amarillo National Bank,111300958
Kansas,American Bank of Baxter Springs,101112635
Minnesota,American Federal Bank,291271004
Minnesota,American State Bank of Grygla,
Tennessee,Andrew Johnson Bank,064202860
Missouri,Arlo Bank,286573351
Texas,Atascosa Bank,114910918
California,Avidbank,121143626
Alabama,BALDWIN COUNTY,265186594
Louisiana,BATON ROUGE FIRE DEPARTMENT,265473346
Texas,BAYLOR HEALTH CARE SYSTEM,311078886
California,"BEACON BUSINESS BANK, NATIONAL ASSOCIATION",121040651
Georgia,BEKA,
Georgia,BERRIEN TEACHERS,
Texas,BIG SPRING EDUCATION EMPLOYEES,
Wisconsin,BLC Community Bank,075905868
Ohio,BMI,244077035
New York,BOULEVARD,222382551
Texas,BRAZOS VALLEY SCHOOLS,313085288
Virginia,BRISTOL VA SCHOOL SYSTEM,251480039
Kentucky,BROWN-FORMAN EMPLOYEES,283078778
New York,BUFFALO POLICE,222079453
Texas,B. P. S.,314977845
Florida,Banesco USA,067015779
Michigan,Bank Michigan,072407741
Tennessee,Bank of Bartlett,084003159
Illinois,Bank of Calhoun County,081913417
Louisiana,Bank of Commerce & Trust Co.,
Nebraska,Bank of Dixon County,
Missouri,Bank of Franklin County,
Kansas,Bank of Hays,101108571
Kansas,Bank of Labor,
Wisconsin,Bank of Mauston,
Missouri,Bank of Odessa,
Missouri,Bank of Salem,081503694
New York,Bank of Utica,
Louisiana,Bank of Zachary,
Ohio,Bank419,
Minnesota,BankVista,091917050
Louisiana,Basile State Bank,
California,Beach Cities Commercial Bank,122245374
Texas,Benchmark Bank,111926400
Michigan,Blissfield State Bank,072403978
New Jersey,Bogota Savings Bank,221270198
Alabama,Brantley Bank and Trust Company,062105723
Wisconsin,Bristol Morgan Bank,075906304
Illinois,Burling Bank,071005254
Pennsylvania,CACL,231385235
California,CALIFORNIA ADVENTIST,322275908
Florida,CAMPUS USA,263178478
California,CAPSTONE,322277841
Minnesota,CATHOLIC UNITED FINANCIAL,096081729
Louisiana,CENLA,265273122
